"Time","Uplink Rx","Downlink Rx"
2026-08-20 16:37:40,41325,73341
2026-08-20 16:38:00,43488,77568
2026-08-20 16:38:20,45644,81799
2026-08-20 16:38:40,49722,88928
2026-08-20 16:39:00,51601,91774
2026-08-20 16:39:20,53373,94204
2026-08-20 16:39:40,56591,97820
2026-08-20 16:40:00,58251,99564
2026-08-20 16:40:20,69469,120783
2026-08-20 16:40:40,91139,162998
2026-08-20 16:41:00,100795,182087
2026-08-20 16:41:20,110023,200295
2026-08-20 16:41:40,126821,233722
2026-08-20 16:42:00,125230,230699
2026-08-20 16:42:20,123054,226520
2026-08-20 16:42:40,122629,224252
2026-08-20 16:43:00,122424,223527
2026-08-20 16:43:20,122810,223958
2026-08-20 16:43:40,122975,224236
2026-08-20 16:44:00,122786,223906
2026-08-20 16:44:20,122356,223244
2026-08-20 16:44:40,122740,223931
2026-08-20 16:45:00,122997,224430
2026-08-20 16:45:20,123276,224985
2026-08-20 16:45:40,123366,225009
2026-08-20 16:46:00,123420,225138
2026-08-20 16:46:20,123050,224736
2026-08-20 16:46:40,123776,225681
2026-08-20 16:47:00,123430,225084
2026-08-20 16:47:20,123624,225480
2026-08-20 16:47:40,124158,226490
2026-08-20 16:48:00,124243,226464
2026-08-20 16:48:20,123398,225309
2026-08-20 16:48:40,122920,224350
2026-08-20 16:49:00,122554,223569
2026-08-20 16:49:20,122385,223199
2026-08-20 16:49:40,121772,222331
2026-08-20 16:50:00,121817,222440
2026-08-20 16:50:20,121476,222017
2026-08-20 16:50:40,121363,221871
2026-08-20 16:51:00,121769,222635
2026-08-20 16:51:20,121695,222532
2026-08-20 16:51:40,122084,223277
2026-08-20 16:52:00,121821,222747
2026-08-20 16:52:20,122454,223577
2026-08-20 16:52:40,122567,223784
2026-08-20 16:53:00,122963,224488
2026-08-20 16:53:20,122907,224523
2026-08-20 16:53:40,123470,225345
2026-08-20 16:54:00,123609,225652
2026-08-20 16:54:20,123792,225924
2026-08-20 16:54:40,123667,225680
2026-08-20 16:55:00,124039,226049
2026-08-20 16:55:20,123583,225379
2026-08-20 16:55:40,122815,224428
2026-08-20 16:56:00,122360,223655
2026-08-20 16:56:20,122255,223389
2026-08-20 16:56:40,121813,222794
2026-08-20 16:57:00,121732,222788
2026-08-20 16:57:20,121662,222696
2026-08-20 16:57:40,122853,224518
2026-08-20 16:58:00,122911,224594
2026-08-20 16:58:20,122727,224382
2026-08-20 16:58:40,122550,224192
2026-08-20 16:59:00,123022,224777
2026-08-20 16:59:20,122908,224635
2026-08-20 16:59:40,123019,224728
2026-08-20 17:00:00,123115,224872
2026-08-20 17:00:20,123003,224716
2026-08-20 17:00:40,122742,224388
2026-08-20 17:01:00,122583,224121
2026-08-20 17:01:20,122897,224523
2026-08-20 17:01:40,123065,224721
2026-08-20 17:02:00,122887,224548
2026-08-20 17:02:20,122969,224706
2026-08-20 17:02:40,123350,225313
2026-08-20 17:03:00,123314,225309
2026-08-20 17:03:20,123420,225437
2026-08-20 17:03:40,123281,225288
2026-08-20 17:04:00,123195,225165
2026-08-20 17:04:20,122913,224805
2026-08-20 17:04:40,123166,225159
2026-08-20 17:05:00,122939,224817
2026-08-20 17:05:20,122293,224733
2026-08-20 17:05:40,111966,205150
2026-08-20 17:06:00,97312,176036
2026-08-20 17:06:20,82359,146581
2026-08-20 17:06:40,53861,89492
2026-08-20 17:07:00,40491,61238
2026-08-20 17:07:20,27344,33255
2026-08-20 17:07:40,23719,26131
2026-08-20 17:08:00,24735,28163
2026-08-20 17:08:20,26075,30841
2026-08-20 17:08:40,29719,38130
2026-08-20 17:09:00,31788,42267
2026-08-20 17:09:20,33554,45800
2026-08-20 17:09:40,36120,50931
2026-08-20 17:10:00,36919,52530
