"Time","Total Traffic Rate"
2026-08-20 16:45:40,313945
2026-08-20 16:46:00,314323
2026-08-20 16:46:20,314339
2026-08-20 16:46:40,314421
2026-08-20 16:47:00,314389
2026-08-20 16:47:20,315161
2026-08-20 16:47:40,315433
2026-08-20 16:48:00,315467
2026-08-20 16:48:20,313745
2026-08-20 16:48:40,313438
2026-08-20 16:49:00,312435
2026-08-20 16:49:20,311122
2026-08-20 16:49:40,311027
2026-08-20 16:50:00,311030
2026-08-20 16:50:20,310260
2026-08-20 16:50:40,310119
2026-08-20 16:51:00,310961
2026-08-20 16:51:20,312138
2026-08-20 16:51:40,312313
2026-08-20 16:52:00,311714
2026-08-20 16:52:20,311932
2026-08-20 16:52:40,312337
2026-08-20 16:53:00,313550
2026-08-20 16:53:20,314300
2026-08-20 16:53:40,314016
2026-08-20 16:54:00,314752
2026-08-20 16:54:20,315490
2026-08-20 16:54:40,315049
2026-08-20 16:55:00,314477
2026-08-20 16:55:20,314863
2026-08-20 16:55:40,314823
2026-08-20 16:56:00,312902
2026-08-20 16:56:20,312143
2026-08-20 16:56:40,312028
2026-08-20 16:57:00,311844
2026-08-20 16:57:20,311637
2026-08-20 16:57:40,312936
2026-08-20 16:58:00,313086
2026-08-20 16:58:20,313709
2026-08-20 16:58:40,313673
2026-08-20 16:59:00,313647
2026-08-20 16:59:20,313616
2026-08-20 16:59:40,313562
2026-08-20 17:00:00,313626
2026-08-20 17:00:20,313767
2026-08-20 17:00:40,313723
2026-08-20 17:01:00,313350
2026-08-20 17:01:20,313246
2026-08-20 17:01:40,313276
2026-08-20 17:02:00,313284
2026-08-20 17:02:20,313926
2026-08-20 17:02:40,314439
2026-08-20 17:03:00,314307
2026-08-20 17:03:20,314327
2026-08-20 17:03:40,314318
2026-08-20 17:04:00,314444
2026-08-20 17:04:20,314298
2026-08-20 17:04:40,314537
2026-08-20 17:05:00,314437
2026-08-20 17:05:20,311817
2026-08-20 17:05:40,297381
2026-08-20 17:06:00,257948
2026-08-20 17:06:20,178568
2026-08-20 17:06:40,138391
2026-08-20 17:07:00,99522
2026-08-20 17:07:20,36415
2026-08-20 17:07:40,38150
2026-08-20 17:08:00,40849
2026-08-20 17:08:20,49151
2026-08-20 17:08:40,54752
2026-08-20 17:09:00,61077
2026-08-20 17:09:20,71428
2026-08-20 17:09:40,75158
2026-08-20 17:10:00,77919
2026-08-20 17:10:20,80541
2026-08-20 17:10:40,80603
2026-08-20 17:11:00,80603
2026-08-20 17:11:20,80603
2026-08-20 17:11:40,80602
2026-08-20 17:12:00,80603
2026-08-20 17:12:20,80602
2026-08-20 17:12:40,80603
2026-08-20 17:13:00,80602
2026-08-20 17:13:20,80603
2026-08-20 17:13:40,80602
2026-08-20 17:14:00,80603
2026-08-20 17:14:20,80602
2026-08-20 17:14:40,80603
2026-08-20 17:15:00,80602
2026-08-20 17:15:20,80603
2026-08-20 17:15:40,80602
2026-08-20 17:16:00,80602
2026-08-20 17:16:20,80602
2026-08-20 17:16:40,80601
2026-08-20 17:17:00,75897
2026-08-20 17:17:20,63040
2026-08-20 17:17:40,56612
2026-08-20 17:18:00,50183
2026-08-20 17:18:20,37326
2026-08-20 17:18:40,35602
2026-08-20 17:19:00,35602
2026-08-20 17:19:20,35602
2026-08-20 17:19:40,35602
2026-08-20 17:20:00,35602
2026-08-20 17:20:20,35602
2026-08-20 17:20:40,35602
2026-08-20 17:21:00,35602
2026-08-20 17:21:20,35602
2026-08-20 17:21:40,35602
2026-08-20 17:22:00,35602
2026-08-20 17:22:20,35602
2026-08-20 17:22:40,35602
2026-08-20 17:23:00,35602
2026-08-20 17:23:20,35604
2026-08-20 17:23:40,36283
2026-08-20 17:24:00,36833
2026-08-20 17:24:20,39201
2026-08-20 17:24:40,41077
2026-08-20 17:25:00,43723
2026-08-20 17:25:20,49860
2026-08-20 17:25:40,53014
2026-08-20 17:26:00,55634
2026-08-20 17:26:20,60107
2026-08-20 17:26:40,61209
2026-08-20 17:27:00,61985
2026-08-20 17:27:20,62165
2026-08-20 17:27:40,62204
2026-08-20 17:28:00,62141
2026-08-20 17:28:20,62085
2026-08-20 17:28:40,62138
2026-08-20 17:29:00,62034
2026-08-20 17:29:20,61932
2026-08-20 17:29:40,62000
2026-08-20 17:30:00,62044
2026-08-20 17:30:20,62015
2026-08-20 17:30:40,61959
2026-08-20 17:31:00,61855
2026-08-20 17:31:20,61875
2026-08-20 17:31:40,61992
2026-08-20 17:32:00,62028
2026-08-20 17:32:20,62162
2026-08-20 17:32:40,62046
2026-08-20 17:33:00,62092
2026-08-20 17:33:20,62000
2026-08-20 17:33:40,62201
2026-08-20 17:34:00,62760
2026-08-20 17:34:20,65977
2026-08-20 17:34:40,67942
2026-08-20 17:35:00,69888
2026-08-20 17:35:20,73854
2026-08-20 17:35:40,75550
2026-08-20 17:36:00,76026
2026-08-20 17:36:20,76639
2026-08-20 17:36:40,76910
2026-08-20 17:37:00,77013
2026-08-20 17:37:20,76855
2026-08-20 17:37:40,77047
2026-08-20 17:38:00,77168
2026-08-20 17:38:20,76852
2026-08-20 17:38:40,76611
2026-08-20 17:39:00,76463
2026-08-20 17:39:20,76800
2026-08-20 17:39:40,76601
2026-08-20 17:40:00,76425
2026-08-20 17:40:20,76778
2026-08-20 17:40:40,77127
2026-08-20 17:41:00,77002
2026-08-20 17:41:20,77128
2026-08-20 17:41:40,76950
2026-08-20 17:42:00,77423
2026-08-20 17:42:20,77013
2026-08-20 17:42:40,77092
2026-08-20 17:43:00,77307
2026-08-20 17:43:20,77497
2026-08-20 17:43:40,77111
2026-08-20 17:44:00,76910
2026-08-20 17:44:20,76059
2026-08-20 17:44:40,75416
2026-08-20 17:45:00,75010
2026-08-20 17:45:20,74156
2026-08-20 17:45:40,74069
2026-08-20 17:46:00,74186
2026-08-20 17:46:20,76268
2026-08-20 17:46:40,74948
2026-08-20 17:47:00,75199
2026-08-20 17:47:20,75506
2026-08-20 17:47:40,75539
2026-08-20 17:48:00,75703
2026-08-20 17:48:20,75707
2026-08-20 17:48:40,75594
2026-08-20 17:49:00,75720
2026-08-20 17:49:20,75871
2026-08-20 17:49:40,75853
2026-08-20 17:50:00,76158
2026-08-20 17:50:20,76142
2026-08-20 17:50:40,75857
2026-08-20 17:51:00,75757
2026-08-20 17:51:20,75290
2026-08-20 17:51:40,74736
