"Time","UL N3 upf-1","UL N3 upf-2","UL N3 upf-3","UL N3 upf-4","DL N3 upf-1","DL N3 upf-2","DL N3 upf-3","DL N3 upf-4"
2026-08-20 20:03:45,25.2 kp/s,20.1 kp/s,875 p/s,23.0 kp/s,27.4 kp/s,11.3 kp/s,759 p/s,15.8 kp/s
2026-08-20 20:04:00,25.1 kp/s,20.1 kp/s,876 p/s,22.9 kp/s,27.3 kp/s,11.3 kp/s,761 p/s,15.8 kp/s
2026-08-20 20:04:15,25.5 kp/s,20.3 kp/s,889 p/s,23.2 kp/s,27.7 kp/s,11.4 kp/s,769 p/s,16.0 kp/s
2026-08-20 20:04:30,25.2 kp/s,20.1 kp/s,878 p/s,23.0 kp/s,27.4 kp/s,11.4 kp/s,764 p/s,15.8 kp/s
2026-08-20 20:04:45,25.0 kp/s,20.0 kp/s,871 p/s,22.8 kp/s,27.1 kp/s,11.2 kp/s,756 p/s,15.7 kp/s
2026-08-20 20:05:00,25.2 kp/s,20.2 kp/s,884 p/s,23.0 kp/s,27.4 kp/s,11.3 kp/s,766 p/s,15.7 kp/s
2026-08-20 20:05:15,25.1 kp/s,20.1 kp/s,884 p/s,22.9 kp/s,27.3 kp/s,11.2 kp/s,764 p/s,15.7 kp/s
2026-08-20 20:05:30,25.2 kp/s,20.2 kp/s,885 p/s,23.0 kp/s,27.4 kp/s,11.3 kp/s,766 p/s,15.7 kp/s
2026-08-20 20:05:45,25.2 kp/s,20.1 kp/s,880 p/s,23.0 kp/s,27.3 kp/s,11.3 kp/s,762 p/s,15.7 kp/s
2026-08-20 20:06:00,25.3 kp/s,20.2 kp/s,887 p/s,23.1 kp/s,27.5 kp/s,11.3 kp/s,771 p/s,15.8 kp/s
2026-08-20 20:06:15,25.2 kp/s,20.0 kp/s,870 p/s,22.9 kp/s,27.3 kp/s,11.3 kp/s,754 p/s,15.8 kp/s
2026-08-20 20:06:30,25.2 kp/s,20.1 kp/s,883 p/s,23.0 kp/s,27.4 kp/s,11.3 kp/s,766 p/s,15.8 kp/s
2026-08-20 20:06:45,25.0 kp/s,19.9 kp/s,870 p/s,22.8 kp/s,27.1 kp/s,11.2 kp/s,757 p/s,15.7 kp/s
2026-08-20 20:07:00,25.2 kp/s,20.1 kp/s,873 p/s,22.9 kp/s,27.3 kp/s,11.3 kp/s,758 p/s,15.9 kp/s
2026-08-20 20:07:15,25.3 kp/s,20.1 kp/s,876 p/s,23.0 kp/s,27.4 kp/s,11.4 kp/s,760 p/s,15.9 kp/s
