"id","upfip","locid","dnnid","dscp"
30,20.20.20.40,3,2,0
1,20.20.20.10,1,1,0
2,20.20.20.10,1,2,0
3,20.20.20.10,2,1,0
4,20.20.20.10,2,2,0
5,20.20.20.10,3,1,0
6,20.20.20.10,3,2,0
7,20.20.20.10,4,1,0
8,20.20.20.10,4,2,0
9,20.20.20.20,1,1,0
10,20.20.20.20,1,2,0
11,20.20.20.20,2,1,0
12,20.20.20.20,2,2,0
13,20.20.20.20,3,1,0
14,20.20.20.20,3,2,0
15,20.20.20.20,4,1,0
16,20.20.20.20,4,2,0
17,20.20.20.30,1,1,0
18,20.20.20.30,1,2,0
19,20.20.20.30,2,1,0
20,20.20.20.30,2,2,0
21,20.20.20.30,3,1,0
22,20.20.20.30,3,2,0
23,20.20.20.30,4,1,0
24,20.20.20.30,4,2,0
25,20.20.20.40,1,1,0
26,20.20.20.40,1,2,0
27,20.20.20.40,2,1,0
28,20.20.20.40,2,2,0
29,20.20.20.40,3,1,0
31,20.20.20.40,4,1,0
32,20.20.20.40,4,2,0
