"Time","upf=upf-1:loc=1:dnn=1:dscp0","upf=upf-2:loc=1:dnn=1:dscp0","upf=upf-3:loc=1:dnn=1:dscp0","upf=upf-4:loc=1:dnn=1:dscp0","upf=upf-1:loc=2:dnn=1:dscp0","upf=upf-2:loc=2:dnn=1:dscp0","upf=upf-3:loc=2:dnn=1:dscp0","upf=upf-4:loc=2:dnn=1:dscp0","upf=upf-1:loc=3:dnn=1:dscp0","upf=upf-2:loc=3:dnn=1:dscp0","upf=upf-3:loc=3:dnn=1:dscp0","upf=upf-4:loc=3:dnn=1:dscp0","upf=upf-1:loc=4:dnn=1:dscp0","upf=upf-2:loc=4:dnn=1:dscp0","upf=upf-3:loc=4:dnn=1:dscp0","upf=upf-4:loc=4:dnn=1:dscp0","upf=upf-1:loc=1:dnn=2:dscp0","upf=upf-2:loc=1:dnn=2:dscp0","upf=upf-3:loc=1:dnn=2:dscp0","upf=upf-4:loc=1:dnn=2:dscp0","upf=upf-1:loc=2:dnn=2:dscp0","upf=upf-2:loc=2:dnn=2:dscp0","upf=upf-3:loc=2:dnn=2:dscp0","upf=upf-4:loc=2:dnn=2:dscp0","upf=upf-1:loc=3:dnn=2:dscp0","upf=upf-2:loc=3:dnn=2:dscp0","upf=upf-3:loc=3:dnn=2:dscp0","upf=upf-4:loc=3:dnn=2:dscp0","upf=upf-1:loc=4:dnn=2:dscp0","upf=upf-2:loc=4:dnn=2:dscp0","upf=upf-3:loc=4:dnn=2:dscp0","upf=upf-4:loc=4:dnn=2:dscp0"
2026-08-20 16:36:40,0 p/s,0 p/s,0 p/s,0 p/s,112 p/s,0 p/s,0 p/s,18.6 kp/s,11.4 kp/s,7.36 kp/s,0 p/s,0 p/s,14.8 kp/s,3.84 kp/s,112 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,30.0 kp/s,0 p/s,0 p/s,30.0 kp/s,534 p/s,549 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-08-20 16:37:00,0 p/s,0 p/s,0 p/s,0 p/s,112 p/s,0 p/s,0 p/s,18.6 kp/s,11.4 kp/s,7.36 kp/s,0 p/s,0 p/s,14.8 kp/s,3.84 kp/s,112 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,30.1 kp/s,0 p/s,0 p/s,30.1 kp/s,4.72 kp/s,4.75 kp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-08-20 16:37:20,0 p/s,0 p/s,0 p/s,0 p/s,112 p/s,0 p/s,0 p/s,18.7 kp/s,11.4 kp/s,7.36 kp/s,0 p/s,0 p/s,14.8 kp/s,3.84 kp/s,112 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,30.1 kp/s,0 p/s,0 p/s,30.1 kp/s,13.8 kp/s,13.8 kp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-08-20 16:37:40,0 p/s,0 p/s,0 p/s,0 p/s,112 p/s,0 p/s,0 p/s,18.7 kp/s,11.4 kp/s,7.37 kp/s,0 p/s,0 p/s,14.8 kp/s,3.84 kp/s,112 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,30.1 kp/s,0 p/s,0 p/s,30.1 kp/s,18.3 kp/s,18.3 kp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-08-20 16:38:00,0 p/s,0 p/s,0 p/s,0 p/s,112 p/s,0 p/s,0 p/s,18.7 kp/s,11.4 kp/s,7.37 kp/s,0 p/s,0 p/s,14.8 kp/s,3.84 kp/s,112 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,30.1 kp/s,0 p/s,0 p/s,30.1 kp/s,22.8 kp/s,22.8 kp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-08-20 16:38:20,0 p/s,0 p/s,0 p/s,0 p/s,112 p/s,0 p/s,0 p/s,18.4 kp/s,11.3 kp/s,7.34 kp/s,0 p/s,0 p/s,13.5 kp/s,3.66 kp/s,112 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,30.0 kp/s,0 p/s,0 p/s,30.1 kp/s,30.0 kp/s,30.0 kp/s,0 p/s,0 p/s,314 p/s,328 p/s,321 p/s,0 p/s
2026-08-20 16:38:40,0 p/s,0 p/s,0 p/s,0 p/s,112 p/s,0 p/s,0 p/s,18.5 kp/s,11.4 kp/s,7.37 kp/s,0 p/s,0 p/s,11.4 kp/s,3.64 kp/s,112 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,30.1 kp/s,0 p/s,0 p/s,30.1 kp/s,30.1 kp/s,30.1 kp/s,0 p/s,0 p/s,2.82 kp/s,2.86 kp/s,2.84 kp/s,0 p/s
2026-08-20 16:39:00,0 p/s,0 p/s,0 p/s,0 p/s,112 p/s,0 p/s,0 p/s,18.4 kp/s,11.4 kp/s,7.36 kp/s,0 p/s,0 p/s,9.56 kp/s,3.61 kp/s,112 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,30.1 kp/s,0 p/s,0 p/s,30.1 kp/s,30.1 kp/s,30.1 kp/s,0 p/s,0 p/s,6.25 kp/s,6.29 kp/s,6.27 kp/s,0 p/s
2026-08-20 16:39:20,0 p/s,0 p/s,0 p/s,0 p/s,112 p/s,0 p/s,0 p/s,18.4 kp/s,11.4 kp/s,7.35 kp/s,0 p/s,0 p/s,9.24 kp/s,3.61 kp/s,112 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,30.1 kp/s,0 p/s,0 p/s,30.1 kp/s,30.1 kp/s,30.1 kp/s,0 p/s,0 p/s,12.3 kp/s,12.3 kp/s,12.3 kp/s,0 p/s
2026-08-20 16:39:40,0 p/s,0 p/s,0 p/s,0 p/s,112 p/s,0 p/s,0 p/s,18.5 kp/s,11.4 kp/s,7.36 kp/s,0 p/s,0 p/s,9.24 kp/s,3.61 kp/s,112 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,30.1 kp/s,0 p/s,0 p/s,30.1 kp/s,30.1 kp/s,30.1 kp/s,0 p/s,0 p/s,15.3 kp/s,15.3 kp/s,15.3 kp/s,0 p/s
