"Time","upf=upf-1:loc=1:dnn=1:dscp0","upf=upf-2:loc=1:dnn=1:dscp0","upf=upf-3:loc=1:dnn=1:dscp0","upf=upf-4:loc=1:dnn=1:dscp0","upf=upf-1:loc=2:dnn=1:dscp0","upf=upf-2:loc=2:dnn=1:dscp0","upf=upf-3:loc=2:dnn=1:dscp0","upf=upf-4:loc=2:dnn=1:dscp0","upf=upf-1:loc=3:dnn=1:dscp0","upf=upf-2:loc=3:dnn=1:dscp0","upf=upf-3:loc=3:dnn=1:dscp0","upf=upf-4:loc=3:dnn=1:dscp0","upf=upf-1:loc=4:dnn=1:dscp0","upf=upf-2:loc=4:dnn=1:dscp0","upf=upf-3:loc=4:dnn=1:dscp0","upf=upf-4:loc=4:dnn=1:dscp0","upf=upf-1:loc=1:dnn=2:dscp0","upf=upf-2:loc=1:dnn=2:dscp0","upf=upf-3:loc=1:dnn=2:dscp0","upf=upf-4:loc=1:dnn=2:dscp0","upf=upf-1:loc=2:dnn=2:dscp0","upf=upf-2:loc=2:dnn=2:dscp0","upf=upf-3:loc=2:dnn=2:dscp0","upf=upf-4:loc=2:dnn=2:dscp0","upf=upf-1:loc=3:dnn=2:dscp0","upf=upf-2:loc=3:dnn=2:dscp0","upf=upf-3:loc=3:dnn=2:dscp0","upf=upf-4:loc=3:dnn=2:dscp0","upf=upf-1:loc=4:dnn=2:dscp0","upf=upf-2:loc=4:dnn=2:dscp0","upf=upf-3:loc=4:dnn=2:dscp0","upf=upf-4:loc=4:dnn=2:dscp0"
2026-08-20 16:36:20,0 p/s,0 p/s,0 p/s,0 p/s,56 p/s,0 p/s,0 p/s,13.9 kp/s,6.55 kp/s,7.43 kp/s,0 p/s,0 p/s,11.3 kp/s,2.68 kp/s,84 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,13.5 kp/s,0 p/s,0 p/s,13.6 kp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-08-20 16:36:40,0 p/s,0 p/s,0 p/s,0 p/s,56 p/s,0 p/s,0 p/s,13.9 kp/s,6.55 kp/s,7.43 kp/s,0 p/s,0 p/s,11.2 kp/s,2.67 kp/s,84 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,15.0 kp/s,0 p/s,0 p/s,15.0 kp/s,337 p/s,347 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-08-20 16:37:00,0 p/s,0 p/s,0 p/s,0 p/s,56 p/s,0 p/s,0 p/s,13.9 kp/s,6.55 kp/s,7.43 kp/s,0 p/s,0 p/s,11.2 kp/s,2.67 kp/s,84 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,15.0 kp/s,0 p/s,0 p/s,15.0 kp/s,2.36 kp/s,2.38 kp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-08-20 16:37:20,0 p/s,0 p/s,0 p/s,0 p/s,56 p/s,0 p/s,0 p/s,13.9 kp/s,6.55 kp/s,7.43 kp/s,0 p/s,0 p/s,11.2 kp/s,2.67 kp/s,84 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,15.0 kp/s,0 p/s,0 p/s,15.0 kp/s,6.88 kp/s,6.90 kp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-08-20 16:37:40,0 p/s,0 p/s,0 p/s,0 p/s,56 p/s,0 p/s,0 p/s,13.9 kp/s,6.56 kp/s,7.44 kp/s,0 p/s,0 p/s,11.2 kp/s,2.67 kp/s,84 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,15.0 kp/s,0 p/s,0 p/s,15.0 kp/s,9.13 kp/s,9.15 kp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-08-20 16:38:00,0 p/s,0 p/s,0 p/s,0 p/s,56 p/s,0 p/s,0 p/s,13.9 kp/s,6.55 kp/s,7.44 kp/s,0 p/s,0 p/s,11.2 kp/s,2.67 kp/s,84 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,15.0 kp/s,0 p/s,0 p/s,15.0 kp/s,11.4 kp/s,11.4 kp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-08-20 16:38:20,0 p/s,0 p/s,0 p/s,0 p/s,56 p/s,0 p/s,0 p/s,13.9 kp/s,6.54 kp/s,7.42 kp/s,0 p/s,0 p/s,11.2 kp/s,2.67 kp/s,84 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,15.0 kp/s,0 p/s,0 p/s,15.0 kp/s,15.0 kp/s,15.0 kp/s,0 p/s,0 p/s,157 p/s,164 p/s,160 p/s,0 p/s
2026-08-20 16:38:40,0 p/s,0 p/s,0 p/s,0 p/s,56 p/s,0 p/s,0 p/s,13.9 kp/s,6.56 kp/s,7.44 kp/s,0 p/s,0 p/s,11.2 kp/s,2.67 kp/s,84 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,15.1 kp/s,0 p/s,0 p/s,15.0 kp/s,15.0 kp/s,15.0 kp/s,0 p/s,0 p/s,1.41 kp/s,1.43 kp/s,1.42 kp/s,0 p/s
2026-08-20 16:39:00,0 p/s,0 p/s,0 p/s,0 p/s,56 p/s,0 p/s,0 p/s,13.9 kp/s,6.55 kp/s,7.43 kp/s,0 p/s,0 p/s,11.2 kp/s,2.67 kp/s,84 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,15.0 kp/s,0 p/s,0 p/s,15.0 kp/s,15.0 kp/s,15.0 kp/s,0 p/s,0 p/s,3.12 kp/s,3.14 kp/s,3.13 kp/s,0 p/s
2026-08-20 16:39:20,0 p/s,0 p/s,0 p/s,0 p/s,56 p/s,0 p/s,0 p/s,13.9 kp/s,6.55 kp/s,7.42 kp/s,0 p/s,0 p/s,11.2 kp/s,2.67 kp/s,84 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,15.0 kp/s,0 p/s,0 p/s,15.0 kp/s,15.0 kp/s,15.0 kp/s,0 p/s,0 p/s,6.13 kp/s,6.15 kp/s,6.13 kp/s,0 p/s
