"Time","Total Traffic Rate"
2026-08-20 16:38:00,121056
2026-08-20 16:38:20,127443
2026-08-20 16:38:40,138651
2026-08-20 16:39:00,143375
2026-08-20 16:39:20,147576
2026-08-20 16:39:40,154411
2026-08-20 16:40:00,157815
2026-08-20 16:40:20,190252
2026-08-20 16:40:40,254137
2026-08-20 16:41:00,282882
2026-08-20 16:41:20,310318
2026-08-20 16:41:40,360543
2026-08-20 16:42:00,355928
2026-08-20 16:42:20,349575
2026-08-20 16:42:40,346880
2026-08-20 16:43:00,345951
2026-08-20 16:43:20,346768
2026-08-20 16:43:40,347211
2026-08-20 16:44:00,346693
2026-08-20 16:44:20,345600
2026-08-20 16:44:40,346671
2026-08-20 16:45:00,347426
2026-08-20 16:45:20,348262
2026-08-20 16:45:40,348375
2026-08-20 16:46:00,348558
2026-08-20 16:46:20,347786
2026-08-20 16:46:40,349457
2026-08-20 16:47:00,348515
2026-08-20 16:47:20,349105
2026-08-20 16:47:40,350648
2026-08-20 16:48:00,350707
2026-08-20 16:48:20,348707
2026-08-20 16:48:40,347270
2026-08-20 16:49:00,346122
2026-08-20 16:49:20,345584
2026-08-20 16:49:40,344103
2026-08-20 16:50:00,344257
2026-08-20 16:50:20,343493
2026-08-20 16:50:40,343235
2026-08-20 16:51:00,344403
2026-08-20 16:51:20,344228
2026-08-20 16:51:40,345361
2026-08-20 16:52:00,344568
2026-08-20 16:52:20,346031
2026-08-20 16:52:40,346351
2026-08-20 16:53:00,347452
2026-08-20 16:53:20,347431
2026-08-20 16:53:40,348815
2026-08-20 16:54:00,349261
2026-08-20 16:54:20,349717
2026-08-20 16:54:40,349347
2026-08-20 16:55:00,350088
2026-08-20 16:55:20,348962
2026-08-20 16:55:40,347244
2026-08-20 16:56:00,346015
2026-08-20 16:56:20,345644
2026-08-20 16:56:40,344607
2026-08-20 16:57:00,344519
2026-08-20 16:57:20,344358
2026-08-20 16:57:40,347371
2026-08-20 16:58:00,347505
2026-08-20 16:58:20,347109
2026-08-20 16:58:40,346743
2026-08-20 16:59:00,347800
2026-08-20 16:59:20,347543
2026-08-20 16:59:40,347747
2026-08-20 17:00:00,347987
2026-08-20 17:00:20,347719
2026-08-20 17:00:40,347131
2026-08-20 17:01:00,346704
2026-08-20 17:01:20,347420
2026-08-20 17:01:40,347786
2026-08-20 17:02:00,347435
2026-08-20 17:02:20,347675
2026-08-20 17:02:40,348663
2026-08-20 17:03:00,348624
2026-08-20 17:03:20,348857
2026-08-20 17:03:40,348570
2026-08-20 17:04:00,348360
2026-08-20 17:04:20,347719
2026-08-20 17:04:40,348325
2026-08-20 17:05:00,347756
2026-08-20 17:05:20,347027
2026-08-20 17:05:40,317116
2026-08-20 17:06:00,273348
