"Time","Uplink Rx","Downlink Rx"
2026-08-20 16:40:00,30856,52476
2026-08-20 16:40:20,31280,53539
2026-08-20 16:40:40,30419,52278
2026-08-20 16:41:00,26758,46146
2026-08-20 16:41:20,24310,41918
2026-08-20 16:41:40,21312,36647
2026-08-20 16:42:00,16356,27788
2026-08-20 16:42:20,15754,26637
2026-08-20 16:42:40,15865,26765
2026-08-20 16:43:00,15960,26860
2026-08-20 16:43:20,16217,27322
2026-08-20 16:43:40,16087,27126
2026-08-20 16:44:00,15962,26927
2026-08-20 16:44:20,15886,26803
2026-08-20 16:44:40,15836,26738
2026-08-20 16:45:00,15872,26836
2026-08-20 16:45:20,16050,27157
2026-08-20 16:45:40,15956,27022
2026-08-20 16:46:00,16179,27385
2026-08-20 16:46:20,16222,27422
2026-08-20 16:46:40,16292,27547
2026-08-20 16:47:00,16213,27399
2026-08-20 16:47:20,16279,27505
2026-08-20 16:47:40,16240,27447
2026-08-20 16:48:00,16215,27461
2026-08-20 16:48:20,15957,27025
2026-08-20 16:48:40,15916,26945
2026-08-20 16:49:00,16009,27106
2026-08-20 16:49:20,15816,26789
2026-08-20 16:49:40,16050,27180
2026-08-20 16:50:00,15884,26858
2026-08-20 16:50:20,15783,26684
2026-08-20 16:50:40,15653,26472
2026-08-20 16:51:00,15410,26086
2026-08-20 16:51:20,15396,26044
2026-08-20 16:51:40,15496,26213
2026-08-20 16:52:00,15997,27083
2026-08-20 16:52:20,16023,27115
2026-08-20 16:52:40,16140,27337
2026-08-20 16:53:00,16132,27342
2026-08-20 16:53:20,16061,27222
2026-08-20 16:53:40,16236,27517
2026-08-20 16:54:00,16237,27510
2026-08-20 16:54:20,16320,27629
2026-08-20 16:54:40,16402,27750
2026-08-20 16:55:00,16470,27856
2026-08-20 16:55:20,16185,27380
2026-08-20 16:55:40,15859,26851
2026-08-20 16:56:00,15719,26601
2026-08-20 16:56:20,15714,26612
2026-08-20 16:56:40,15611,26465
2026-08-20 16:57:00,15571,26400
2026-08-20 16:57:20,15772,26735
2026-08-20 16:57:40,15818,26825
2026-08-20 16:58:00,15833,26847
2026-08-20 16:58:20,15443,26190
2026-08-20 16:58:40,15658,26535
2026-08-20 16:59:00,16020,27158
2026-08-20 16:59:20,16084,27272
2026-08-20 16:59:40,16048,27231
2026-08-20 17:00:00,16095,27301
2026-08-20 17:00:20,15988,27120
2026-08-20 17:00:40,15934,27020
